Wall time,Step,Value
1617819261,3007,2.39411816
1617819275,3009,0.822973251
1617819289,3011,0.685283076
1617819316,3015,2.133583091
1617819322,3016,1.577493921
1617819397,3027,0.85725449
1617819418,3030,0.881269854
1617819472,3038,1.010015327
1617819492,3041,1.234622207
1617819499,3042,0.354479998
1617819553,3050,1.041948237
1617819655,3065,1.992183179
1617819682,3069,1.638876274
1617819696,3071,1.67013146
1617819798,3086,2.318604849
1617819887,3099,2.635420673
1617820043,3122,0.917855836
1617820145,3137,2.116621844
1617820152,3138,2.063692361
1617820193,3144,1.385175902
1617820200,3145,1.639326289
1617820234,3150,1.925325021
1617820268,3155,1.141745597
1617820295,3159,1.644285396
1617820309,3161,0.507147424
1617820418,3177,0.779616321
1617820493,3188,1.265737787
1617820540,3195,1.01280855
1617820547,3196,2.493614331
1617820594,3203,0.918878429
1617820615,3206,1.553838421
1617820777,3230,1.720466092
1617820797,3233,1.546104439
1617820845,3240,1.319628581
1617820865,3243,1.565858908
1617820872,3244,0.567577872
1617820886,3246,0.735838851
1617820892,3247,0.847174972
1617821028,3267,1.469627768
1617821062,3272,1.720215566
1617821122,3281,1.765516028
1617821136,3283,1.768896356
1617821150,3285,2.196454629
1617821197,3292,2.354042605
1617821285,3305,2.071705088
1617821299,3307,1.194930729
1617821339,3313,0.499069644
1617821394,3321,2.159594186
1617821435,3327,1.87779814
1617821441,3328,1.923660189
1617821475,3333,0.71340017
1617821509,3338,1.71553921
1617821557,3345,0.648964476
1617821638,3357,0.416267244
1617821666,3361,1.484120358
1617821754,3374,1.262217294
1617821768,3376,1.132747065
1617821781,3378,0.834533013
1617821802,3381,0.922524743
1617821835,3386,0.855951849
1617821950,3403,0.707776984
1617821984,3408,1.752676442
1617822134,3430,0.940765161
1617822154,3433,1.477438398
1617822188,3438,0.838924851
1617822235,3445,1.611075737
1617822263,3449,1.43751353
1617822276,3451,2.024720237
1617822317,3457,1.649868302
1617822323,3458,1.200491562
1617822364,3464,0.913031679
1617822411,3471,2.358703688
1617822452,3477,1.006595232
1617822472,3480,1.311384421
1617822513,3486,1.245078165
1617822588,3497,1.138597261
1617822602,3499,1.409294084
1617822670,3509,2.475583367
1617822691,3512,1.671840623
1617822705,3514,1.804316975
1617822738,3519,2.744651586
1617822847,3535,1.965964213
1617822860,3537,1.514478866
1617822901,3543,2.213000692
1617822928,3547,1.749480702
1617822947,3549,1.609281823
1617823042,3563,1.437606849
1617823123,3575,0.382278441
1617823157,3580,0.963970274
1617823238,3592,0.903745368
1617823245,3593,2.152168937
1617823286,3599,1.078410074
1617823292,3600,1.296654157
1617823388,3614,2.820479125
1617823415,3618,0.627493067
1617823428,3620,1.705318689
1617823442,3622,2.839388698
1617823462,3625,1.783771068
1617823483,3628,0.902447477
1617823598,3645,1.47936577
1617823673,3656,0.863143429
1617823679,3657,1.106535736
1617823720,3663,0.927401427
1617823767,3670,0.992981624
1617823930,3694,1.690871455
1617823971,3700,1.170273963
1617823984,3702,1.386149693
1617824127,3723,0.889582094
1617824147,3726,0.994552299
1617824174,3730,0.684280554
1617824181,3731,2.477146126
1617824188,3732,0.277771521
1617824228,3738,0.668156287
1617824249,3741,1.481655519
1617824262,3743,1.681416482
1617824323,3752,1.554171368
1617824371,3759,2.120425738
1617824404,3764,1.417633332
1617824459,3772,0.873984955
1617824486,3776,1.322007738
1617824513,3780,1.326170005
1617824602,3793,0.807404239
1617824615,3795,0.673748367
1617824636,3798,2.054110542
1617824717,3810,1.895717531
1617824744,3814,1.632396877
1617824778,3819,1.965051889
1617824791,3821,1.960422285
1617824859,3831,0.82729226
1617824873,3833,1.44083472
1617824886,3835,1.412585191
1617824975,3848,0.984201394
1617825083,3864,1.525486354
1617825117,3869,2.134910971
1617825164,3876,0.631307345
1617825334,3901,1.087357104
1617825340,3902,0.329028489
1617825347,3903,1.033766475
1617825394,3910,0.759228412
1617825462,3920,3.276860714
1617825516,3928,2.165121771
1617825564,3935,0.44849664
1617825591,3939,2.008713782
1617825666,3950,1.066737156
1617825707,3956,0.977591518
1617825748,3962,2.094447054
1617825869,3980,2.902479284
1617825897,3984,1.137865335
1617825971,3995,1.143329777
1617826005,4000,1.26384208
1617826039,4005,1.42949326
1617826066,4009,1.750891097
1617826073,4010,0.91985669
1617826147,4021,1.620686799
1617826154,4022,1.244172174
1617826229,4033,1.819842868
1617826243,4035,0.761434156
1617826250,4036,0.452117575
1617826297,4043,1.619855687
1617826318,4046,1.170521136
1617826324,4047,2.037327178
1617826331,4048,1.037677657
1617826372,4054,1.135782618
1617826522,4076,1.264373679
1617826637,4093,1.817828044
1617826671,4098,1.423810516
1617826678,4099,0.893879216
1617826691,4101,0.578696188
1617826745,4109,0.567419268
1617827139,4167,1.051849779
1617827234,4181,1.412072964
1617827241,4182,0.95391348
1617827316,4193,0.613564532
1617827323,4194,1.597516611
1617827336,4196,1.248875447
1617827350,4198,1.113270223
1617827370,4201,3.13866362
1617827377,4202,1.397374924
1617827391,4204,1.191886887
1617827547,4227,0.817559659
1617827581,4232,0.94756959
1617827601,4235,1.562309731
1617827621,4238,1.337424386
1617827655,4243,1.231605932
1617827730,4254,1.775130816
1617827791,4263,1.559477393
1617827811,4266,1.488983631
1617827818,4267,1.349182986
1617827879,4276,1.720615849
1617827920,4282,1.309487224
1617828029,4298,0.565696042
1617828070,4304,1.409062091
1617828097,4308,1.003616862
1617828158,4317,0.8356167
1617828172,4319,1.434502006
1617828240,4328,2.039658278
1617828268,4332,3.375682235
1617828308,4338,1.512681413
1617828342,4343,1.580717228
1617828383,4349,0.826415978
1617828444,4358,0.929998141
1617828491,4365,1.754087768
1617828518,4369,1.187592838
1617828580,4378,0.820605364
1617828681,4393,1.365934312
1617828729,4400,1.132444944
1617828769,4406,2.32299529
1617828796,4410,0.806671474
1617828803,4411,1.19985519
1617828932,4430,0.320620346
1617828939,4431,0.830444135
